Bike_Model,Age,Service_Type,Service_History,Service_Time (hours:minutes),Build_Year,Mileage (km),Last_Serviced_Date (months),Current_Year
Yamaha FZ V3,13,Coolant Oil Change,31,12:35,2010,23917,0,2023
Yamaha R15 V2,6,Coolant Oil Change,12,07:66,2017,24371,11,2023
Yamaha FZ 250,2,Fork Oil Change,13,04:07,2021,7999,8,2023
Yamaha R15 V4,8,Brake Fluid Change,-2,05:27,2015,11791,8,2023
Yamaha FZ V3,12,Oil Change,2,13:41,2011,22627,6,2023
Yamaha FZ 250,4,Chain Inspection,10,04:29,2019,27247,8,2023
Yamaha FZ V1,7,Brake Fluid Change,3,05:79,2016,44077,1,2023
Yamaha FZ V1,9,Brake Fluid Change,14,06:31,2014,11456,7,2023
Yamaha FZ V1,6,Complete Check Up,18,10:16,2017,32826,11,2023
Yamaha R15 V1,0,Complete Check Up,16,-1:25,2023,35455,4,2023
Yamaha R15 V4,4,Coolant Oil Change,19,03:08,2019,39952,2,2023
Yamaha R15 V3,3,Coolant Oil Change,18,03:41,2020,9009,7,2023
Yamaha FZ V1,13,Air Filter Change,8,13:54,2010,18596,3,2023
Yamaha R15 V3,4,Coolant Oil Change,11,07:45,2019,8984,6,2023
Yamaha FZ V3,12,Air Filter Change,17,13:50,2011,73584,3,2023
Yamaha R15 V1,3,Complete Check Up,1,06:54,2020,7166,9,2023
Yamaha FZ V1,10,Brake Fluid Change,22,12:-18,2013,51199,-2,2023
Yamaha MT15 v1,9,Oil Change,20,09:-22,2014,27011,0,2023
Yamaha FZ X,12,Chain Inspection,31,12:00,2011,28282,6,2023
Yamaha MT15 v2,3,Brake Fluid Change,4,04:53,2020,34269,3,2023
Yamaha MT15 v1,9,Brake Fluid Change,12,11:34,2014,63358,9,2023
Yamaha MT15 v1,9,Air Filter Change,16,06:68,2014,47801,0,2023
Yamaha FZ 250,2,Brake Inspection,21,01:-23,2021,35108,5,2023
Yamaha MT15 v2,10,Coolant Oil Change,11,13:15,2013,32788,3,2023
Yamaha FZ X,1,Complete Check Up,7,00:27,2022,25369,4,2023
Yamaha FZ V3,2,Coolant Oil Change,24,-1:39,2021,9930,4,2023
Yamaha FZ V3,11,Air Filter Change,13,14:56,2012,46914,4,2023
Yamaha R15 V3,0,Fork Oil Change,9,03:31,2023,35617,8,2023
Yamaha MT15 v1,5,Fork Oil Change,25,02:15,2018,7840,5,2023
Yamaha R15 V4,4,Coolant Oil Change,25,04:62,2019,46097,8,2023
Yamaha FZ 250,7,Coolant Oil Change,31,09:39,2016,17260,9,2023
Yamaha FZ V2,6,Chain Inspection,28,06:27,2017,3999,9,2023
Yamaha FZ V3,8,Fork Oil Change,7,11:52,2015,18880,3,2023
Yamaha MT15 v1,6,Brake Fluid Change,4,09:36,2017,26827,2,2023
Yamaha FZ V3,7,Chain Inspection,9,09:08,2016,7577,6,2023
Yamaha MT15 v1,3,Air Filter Change,5,05:25,2020,17841,10,2023
Yamaha R15 V2,10,Fork Oil Change,3,13:03,2013,13944,2,2023
Yamaha R15 V4,5,Oil Change,28,08:47,2018,47752,5,2023
Yamaha FZ V2,0,Brake Fluid Change,14,-2:39,2023,41034,9,2023
Yamaha R15 V3,12,Oil Change,22,09:-7,2011,16320,5,2023
Yamaha R15 V4,10,Chain Inspection,27,13:-8,2013,19245,1,2023
Yamaha R15 V1,0,Brake Fluid Change,3,03:-2,2023,5831,4,2023
Yamaha MT15 v2,4,Oil Change,14,07:21,2019,7136,11,2023
Yamaha MT15 v2,3,Brake Inspection,9,00:45,2020,22972,13,2023
Yamaha FZ V2,3,Brake Inspection,10,06:49,2020,18049,4,2023
Yamaha MT15 v2,6,Brake Fluid Change,1,08:39,2017,41623,3,2023
Yamaha R15 V1,12,Fork Oil Change,0,14:00,2011,30650,7,2023
Yamaha R15 V1,13,Coolant Oil Change,2,12:61,2010,12972,12,2023
Yamaha FZ 250,5,Fork Oil Change,32,03:51,2018,11579,7,2023
Yamaha FZ 250,2,Oil Change,9,04:48,2021,17269,10,2023
Yamaha R15 V1,0,Complete Check Up,15,03:12,2023,32196,0,2023
Yamaha R15 V3,6,Fork Oil Change,29,08:01,2017,23016,1,2023
Yamaha R15 V3,0,Fork Oil Change,9,-3:-4,2023,34550,5,2023
Yamaha FZ X,10,Coolant Oil Change,22,13:-2,2013,45449,4,2023
Yamaha MT15 v2,0,Fork Oil Change,18,-2:06,2023,42458,4,2023
Yamaha MT15 v1,9,Coolant Oil Change,0,10:-7,2014,62030,13,2023
Yamaha FZ 250,7,Chain Inspection,14,04:00,2016,39724,5,2023
Yamaha R15 V3,11,Brake Inspection,-4,12:10,2012,54757,1,2023
Yamaha FZ V3,12,Oil Change,16,15:46,2011,19358,7,2023
Yamaha R15 V1,10,Oil Change,27,10:82,2013,4858,10,2023
Yamaha R15 V3,1,Complete Check Up,22,00:-8,2022,13636,6,2023
Yamaha R15 V2,12,Air Filter Change,12,13:29,2011,68081,9,2023
Yamaha MT15 v1,2,Brake Inspection,7,-1:43,2021,8925,1,2023
Yamaha FZ V1,12,Chain Inspection,6,14:22,2011,61689,4,2023
Yamaha R15 V2,1,Oil Change,4,01:-16,2022,8172,6,2023
Yamaha MT15 v2,10,Air Filter Change,13,13:24,2013,59929,3,2023
Yamaha R15 V2,2,Air Filter Change,5,05:43,2021,37672,8,2023
Yamaha FZ V1,8,Oil Change,8,06:30,2015,26134,4,2023
Yamaha FZ 250,11,Brake Fluid Change,10,09:00,2012,20337,7,2023
Yamaha FZ 250,5,Chain Inspection,23,05:40,2018,9235,2,2023
Yamaha R15 V1,2,Fork Oil Change,28,03:49,2021,11458,12,2023
Yamaha FZ 250,4,Coolant Oil Change,9,04:45,2019,30213,-2,2023
Yamaha R15 V2,7,Complete Check Up,16,14:44,2016,15053,9,2023
Yamaha R15 V3,11,Complete Check Up,24,24:06,2012,43223,0,2023
Yamaha FZ V1,4,Brake Fluid Change,15,04:67,2019,39485,9,2023
Yamaha R15 V3,2,Brake Inspection,20,02:71,2021,11601,4,2023
Yamaha FZ V1,7,Coolant Oil Change,14,08:59,2016,50917,5,2023
Yamaha FZ V2,12,Coolant Oil Change,16,13:07,2011,48248,8,2023
Yamaha FZ 250,2,Complete Check Up,14,07:38,2021,27137,8,2023
Yamaha FZ X,8,Brake Fluid Change,0,09:58,2015,10034,7,2023
Yamaha FZ V1,9,Air Filter Change,5,06:53,2014,52378,14,2023
Yamaha MT15 v2,7,Oil Change,27,07:57,2016,18450,-1,2023
Yamaha R15 V2,13,Brake Inspection,16,15:-6,2010,14593,2,2023
Yamaha FZ V3,6,Air Filter Change,18,08:32,2017,27113,10,2023
Yamaha FZ X,7,Coolant Oil Change,19,07:21,2016,39827,3,2023
Yamaha MT15 v1,1,Air Filter Change,14,-2:24,2022,29134,13,2023
Yamaha FZ V3,6,Chain Inspection,33,04:10,2017,37809,8,2023
Yamaha MT15 v1,0,Air Filter Change,1,-1:52,2023,6679,0,2023
Yamaha MT15 v2,3,Coolant Oil Change,12,02:03,2020,35773,4,2023
Yamaha R15 V2,3,Chain Inspection,4,05:34,2020,16368,8,2023
Yamaha R15 V4,6,Chain Inspection,15,09:45,2017,32661,12,2023
Yamaha R15 V1,13,Fork Oil Change,-3,12:51,2010,55920,12,2023
Yamaha R15 V4,3,Air Filter Change,22,01:29,2020,15832,6,2023
Yamaha FZ V3,4,Complete Check Up,12,08:00,2019,44017,11,2023
Yamaha FZ V1,7,Brake Fluid Change,22,09:-7,2016,47262,8,2023
Yamaha FZ V2,2,Air Filter Change,15,02:15,2021,35558,1,2023
Yamaha R15 V3,10,Fork Oil Change,26,11:01,2013,36865,5,2023
Yamaha R15 V2,4,Air Filter Change,2,01:25,2019,17782,11,2023
Yamaha MT15 v2,5,Fork Oil Change,15,08:-2,2018,23939,6,2023
Yamaha R15 V4,13,Brake Inspection,21,11:08,2010,66920,8,2023
Yamaha FZ V1,6,Chain Inspection,17,04:29,2017,45861,3,2023
Yamaha FZ V3,13,Air Filter Change,16,11:43,2010,46965,12,2023
Yamaha R15 V4,3,Air Filter Change,20,06:30,2020,-1253,7,2023
Yamaha FZ V3,6,Oil Change,7,07:12,2017,17937,15,2023
Yamaha R15 V1,10,Complete Check Up,17,22:29,2013,22637,9,2023
Yamaha FZ V2,12,Coolant Oil Change,18,11:25,2011,67755,5,2023
Yamaha FZ V1,8,Brake Fluid Change,8,10:-4,2015,25693,8,2023
Yamaha R15 V2,11,Coolant Oil Change,30,12:22,2012,54712,-1,2023
Yamaha R15 V4,3,Coolant Oil Change,5,06:-2,2020,39269,5,2023
Yamaha FZ V2,4,Air Filter Change,16,03:50,2019,30068,9,2023
Yamaha R15 V4,6,Fork Oil Change,23,08:67,2017,42489,10,2023
Yamaha FZ 250,10,Complete Check Up,9,21:31,2013,12592,7,2023
Yamaha MT15 v1,6,Complete Check Up,21,11:-28,2017,16284,7,2023
Yamaha FZ V2,5,Oil Change,12,02:55,2018,17494,10,2023
Yamaha R15 V1,3,Air Filter Change,8,01:41,2020,26532,10,2023
Yamaha R15 V2,1,Fork Oil Change,9,00:42,2022,2015,6,2023
Yamaha FZ V1,8,Coolant Oil Change,8,09:60,2015,23207,2,2023
Yamaha MT15 v2,8,Coolant Oil Change,19,09:16,2015,39950,7,2023
Yamaha R15 V3,11,Chain Inspection,3,08:47,2012,23495,11,2023
Yamaha FZ 250,10,Brake Fluid Change,0,11:19,2013,40472,14,2023
Yamaha FZ X,8,Air Filter Change,3,07:35,2015,25790,12,2023
Yamaha MT15 v2,13,Brake Fluid Change,2,16:74,2010,43128,2,2023
Yamaha R15 V3,0,Complete Check Up,26,01:10,2023,29481,-1,2023
Yamaha MT15 v2,6,Brake Inspection,15,08:19,2017,31746,5,2023
Yamaha FZ X,13,Chain Inspection,14,11:-20,2010,29505,8,2023
Yamaha FZ 250,10,Oil Change,7,09:80,2013,28398,11,2023
Yamaha R15 V1,8,Oil Change,9,08:18,2015,27664,4,2023
Yamaha MT15 v2,12,Brake Inspection,7,10:76,2011,64894,5,2023
Yamaha FZ V3,2,Brake Inspection,18,05:59,2021,26490,4,2023
Yamaha R15 V4,4,Coolant Oil Change,10,07:71,2019,32153,14,2023
Yamaha FZ X,7,Air Filter Change,21,05:61,2016,32081,9,2023
Yamaha FZ V1,6,Oil Change,26,03:12,2017,8202,15,2023
Yamaha R15 V2,6,Oil Change,8,04:44,2017,12698,7,2023
Yamaha FZ 250,6,Brake Fluid Change,-3,08:19,2017,34003,4,2023
Yamaha FZ V1,1,Complete Check Up,32,02:28,2022,5978,7,2023
Yamaha MT15 v2,10,Complete Check Up,2,20:18,2013,34790,2,2023
Yamaha R15 V1,13,Chain Inspection,26,12:48,2010,28782,4,2023
Yamaha FZ X,7,Brake Fluid Change,1,09:58,2016,14044,9,2023
Yamaha MT15 v1,6,Air Filter Change,14,08:18,2017,37567,13,2023
Yamaha FZ X,1,Complete Check Up,6,-1:45,2022,8272,8,2023
Yamaha FZ V2,6,Complete Check Up,6,12:29,2017,42451,0,2023
Yamaha FZ V3,5,Brake Fluid Change,20,08:16,2018,37640,6,2023
Yamaha FZ V3,7,Fork Oil Change,30,06:16,2016,42741,8,2023
Yamaha R15 V1,2,Fork Oil Change,2,03:40,2021,11628,12,2023
Yamaha MT15 v1,4,Air Filter Change,25,01:34,2019,38428,0,2023
Yamaha R15 V3,9,Brake Fluid Change,10,09:50,2014,12846,14,2023
Yamaha FZ 250,5,Complete Check Up,0,09:13,2018,41282,2,2023
Yamaha R15 V3,5,Oil Change,8,02:68,2018,46523,7,2023
Yamaha FZ V2,6,Oil Change,10,04:60,2017,37970,7,2023
Yamaha FZ 250,5,Chain Inspection,26,02:07,2018,20088,8,2023
Yamaha R15 V2,7,Air Filter Change,15,10:15,2016,9174,6,2023
Yamaha R15 V2,1,Fork Oil Change,12,-2:03,2022,12894,-1,2023
Yamaha FZ 250,0,Coolant Oil Change,21,01:20,2023,11463,1,2023
Yamaha FZ 250,13,Complete Check Up,5,28:65,2010,22332,3,2023
Yamaha FZ V3,6,Oil Change,10,09:50,2017,34873,12,2023
Yamaha FZ X,7,Fork Oil Change,16,10:15,2016,33853,9,2023
Yamaha MT15 v2,10,Complete Check Up,9,23:70,2013,32899,8,2023
Yamaha FZ V3,3,Air Filter Change,3,02:26,2020,29847,4,2023
Yamaha MT15 v1,10,Chain Inspection,27,10:42,2013,61164,-1,2023
Yamaha FZ V1,12,Brake Fluid Change,27,11:62,2011,66249,-2,2023
Yamaha FZ V2,12,Oil Change,27,13:16,2011,68759,4,2023
Yamaha FZ V3,5,Oil Change,16,07:34,2018,20225,5,2023
Yamaha MT15 v2,3,Air Filter Change,17,02:46,2020,35228,6,2023
Yamaha MT15 v1,5,Chain Inspection,11,07:59,2018,45696,10,2023
Yamaha R15 V1,12,Complete Check Up,17,27:31,2011,33468,11,2023
Yamaha FZ V2,11,Brake Inspection,3,08:45,2012,21332,12,2023
Yamaha MT15 v1,0,Brake Fluid Change,18,-1:22,2023,11033,10,2023
Yamaha R15 V4,8,Complete Check Up,32,16:06,2015,20875,2,2023
Yamaha FZ X,5,Oil Change,7,08:50,2018,17783,11,2023
Yamaha MT15 v1,0,Air Filter Change,25,03:47,2023,19535,3,2023
Yamaha R15 V4,5,Brake Inspection,17,08:-14,2018,32904,12,2023
Yamaha FZ X,4,Air Filter Change,14,07:52,2019,3469,10,2023
Yamaha R15 V3,9,Brake Fluid Change,14,09:54,2014,54159,10,2023
Yamaha FZ X,2,Air Filter Change,12,01:16,2021,25249,4,2023
Yamaha FZ V3,2,Coolant Oil Change,2,-1:50,2021,38429,4,2023
Yamaha R15 V2,0,Brake Inspection,21,00:-6,2023,22332,11,2023
Yamaha FZ X,10,Coolant Oil Change,2,09:45,2013,29465,10,2023
Yamaha R15 V1,13,Brake Fluid Change,23,14:-27,2010,18706,7,2023
Yamaha FZ V3,9,Oil Change,14,06:07,2014,41632,7,2023
Yamaha FZ V1,13,Brake Inspection,29,11:03,2010,21409,6,2023
Yamaha R15 V3,5,Fork Oil Change,5,05:-17,2018,36484,9,2023
Yamaha FZ V2,4,Fork Oil Change,29,07:45,2019,16045,5,2023
Yamaha FZ V3,13,Air Filter Change,17,12:-2,2010,8443,8,2023
Yamaha FZ 250,0,Brake Inspection,15,-2:48,2023,13413,6,2023
Yamaha FZ 250,4,Complete Check Up,4,08:24,2019,35444,3,2023
Yamaha MT15 v2,13,Chain Inspection,20,14:35,2010,57522,12,2023
Yamaha MT15 v1,9,Oil Change,2,12:49,2014,46935,6,2023
Yamaha FZ V3,0,Coolant Oil Change,6,03:42,2023,10194,6,2023
Yamaha FZ 250,3,Fork Oil Change,8,05:-11,2020,27510,14,2023
Yamaha FZ X,13,Brake Fluid Change,18,16:43,2010,67055,15,2023
Yamaha MT15 v2,6,Air Filter Change,12,08:-24,2017,9544,0,2023
Yamaha R15 V4,11,Brake Fluid Change,13,09:75,2012,12211,5,2023
Yamaha MT15 v1,13,Chain Inspection,28,11:25,2010,52662,4,2023
Yamaha FZ V1,3,Chain Inspection,2,05:39,2020,10056,2,2023
Yamaha FZ V1,5,Brake Inspection,11,03:-4,2018,13912,9,2023
Yamaha R15 V1,3,Chain Inspection,12,03:59,2020,24197,9,2023
Yamaha MT15 v2,3,Air Filter Change,11,03:35,2020,15634,7,2023
Yamaha FZ 250,10,Oil Change,29,11:-11,2013,46645,2,2023
Yamaha FZ X,3,Brake Fluid Change,7,04:-3,2020,35464,10,2023
Yamaha FZ V1,9,Fork Oil Change,26,07:-13,2014,37198,11,2023
Yamaha R15 V2,13,Air Filter Change,11,10:10,2010,34265,4,2023
Yamaha R15 V2,8,Brake Inspection,3,05:60,2015,28795,9,2023
Yamaha R15 V3,7,Oil Change,7,09:49,2016,35876,4,2023
Yamaha R15 V3,0,Fork Oil Change,-1,02:-5,2023,29459,11,2023
Yamaha FZ 250,0,Complete Check Up,2,00:12,2023,6984,5,2023
Yamaha FZ V3,10,Fork Oil Change,9,08:40,2013,35355,4,2023
Yamaha R15 V2,13,Chain Inspection,18,10:35,2010,32450,11,2023
Yamaha FZ X,1,Chain Inspection,7,01:74,2022,33392,8,2023
Yamaha R15 V3,11,Fork Oil Change,20,08:44,2012,30081,2,2023
Yamaha MT15 v1,2,Fork Oil Change,29,01:-3,2021,21001,12,2023
Yamaha MT15 v1,13,Brake Inspection,8,14:-5,2010,41336,3,2023
Yamaha MT15 v1,3,Oil Change,34,03:46,2020,41127,4,2023
Yamaha FZ V1,0,Brake Inspection,8,-1:26,2023,10809,6,2023
Yamaha MT15 v1,8,Brake Inspection,9,05:-21,2015,32178,-1,2023
Yamaha MT15 v1,2,Chain Inspection,2,-1:12,2021,39602,3,2023
Yamaha FZ V1,8,Chain Inspection,3,11:26,2015,46786,2,2023
Yamaha R15 V2,9,Complete Check Up,-1,16:-10,2014,41156,14,2023
Yamaha FZ V3,10,Chain Inspection,10,09:-4,2013,5470,9,2023
Yamaha MT15 v2,10,Brake Fluid Change,9,08:-15,2013,4276,6,2023
Yamaha FZ V2,13,Oil Change,35,14:10,2010,41775,5,2023
Yamaha R15 V1,1,Fork Oil Change,12,-2:38,2022,20366,8,2023
Yamaha R15 V4,8,Brake Fluid Change,20,10:09,2015,11436,5,2023
Yamaha FZ X,12,Brake Fluid Change,5,12:53,2011,72636,12,2023
Yamaha FZ 250,13,Complete Check Up,13,23:04,2010,69443,6,2023
Yamaha R15 V4,12,Chain Inspection,9,10:46,2011,65336,7,2023
Yamaha R15 V4,11,Brake Fluid Change,20,10:38,2012,30789,1,2023
Yamaha R15 V4,2,Brake Inspection,10,02:22,2021,2518,5,2023
Yamaha MT15 v1,11,Brake Inspection,17,13:21,2012,32859,15,2023
Yamaha R15 V3,4,Brake Fluid Change,5,06:-8,2019,36246,7,2023
Yamaha R15 V3,0,Coolant Oil Change,7,01:39,2023,24748,10,2023
Yamaha FZ V3,0,Air Filter Change,24,00:03,2023,30873,9,2023
Yamaha R15 V3,2,Fork Oil Change,10,-1:61,2021,17959,6,2023
Yamaha FZ V3,0,Fork Oil Change,0,00:-9,2023,13910,8,2023
Yamaha R15 V3,5,Fork Oil Change,25,05:-26,2018,19288,4,2023
Yamaha FZ 250,2,Coolant Oil Change,27,01:47,2021,9314,11,2023
Yamaha FZ V2,7,Coolant Oil Change,7,09:-12,2016,20854,8,2023
Yamaha FZ V2,1,Brake Fluid Change,9,-2:37,2022,9832,3,2023
Yamaha FZ V3,12,Fork Oil Change,17,15:02,2011,32753,1,2023
Yamaha R15 V3,6,Fork Oil Change,10,06:07,2017,31633,2,2023
Yamaha FZ V3,6,Oil Change,23,08:53,2017,21217,6,2023
Yamaha FZ V3,12,Brake Fluid Change,4,10:21,2011,25085,3,2023
Yamaha MT15 v2,1,Air Filter Change,26,-1:14,2022,29976,13,2023
Yamaha FZ V1,9,Brake Inspection,8,10:27,2014,28661,8,2023
Yamaha R15 V1,6,Complete Check Up,9,10:53,2017,33225,14,2023
Yamaha R15 V3,0,Oil Change,3,-2:60,2023,23699,1,2023
Yamaha R15 V1,8,Fork Oil Change,22,10:-3,2015,36683,4,2023
Yamaha R15 V1,12,Brake Fluid Change,21,10:54,2011,55240,7,2023
Yamaha FZ V1,6,Fork Oil Change,22,04:53,2017,39480,3,2023
Yamaha MT15 v1,6,Air Filter Change,-4,03:09,2017,51315,14,2023
Yamaha R15 V2,13,Air Filter Change,18,12:15,2010,70098,13,2023
Yamaha FZ V3,1,Complete Check Up,31,00:41,2022,32150,3,2023
Yamaha MT15 v2,7,Chain Inspection,1,04:69,2016,58110,5,2023
Yamaha FZ 250,0,Coolant Oil Change,21,02:39,2023,39407,5,2023
Yamaha MT15 v1,0,Complete Check Up,7,03:34,2023,25149,2,2023
Yamaha FZ X,11,Complete Check Up,21,20:33,2012,36836,10,2023
Yamaha R15 V3,4,Air Filter Change,33,07:-14,2019,35464,6,2023
Yamaha MT15 v2,10,Chain Inspection,30,09:35,2013,11933,2,2023
Yamaha FZ V1,5,Brake Inspection,5,03:43,2018,45139,3,2023
Yamaha FZ V3,13,Coolant Oil Change,26,16:32,2010,19956,4,2023
Yamaha MT15 v2,5,Coolant Oil Change,12,03:-18,2018,30863,14,2023
Yamaha FZ X,8,Brake Fluid Change,23,06:23,2015,33179,7,2023
Yamaha FZ V3,13,Fork Oil Change,26,11:41,2010,46689,2,2023
Yamaha R15 V2,0,Air Filter Change,24,-2:47,2023,8202,4,2023
Yamaha FZ V2,13,Oil Change,2,12:22,2010,61055,4,2023
Yamaha R15 V3,8,Oil Change,17,06:18,2015,45395,4,2023
Yamaha FZ 250,8,Complete Check Up,6,17:81,2015,31946,7,2023
Yamaha FZ V2,12,Oil Change,31,13:66,2011,64150,6,2023
Yamaha R15 V1,0,Oil Change,20,03:16,2023,2060,4,2023
Yamaha FZ 250,11,Chain Inspection,11,11:06,2012,40260,10,2023
Yamaha R15 V3,7,Chain Inspection,17,07:75,2016,38764,5,2023
Yamaha R15 V2,1,Air Filter Change,32,03:05,2022,24070,5,2023
Yamaha FZ V3,12,Coolant Oil Change,20,14:-8,2011,42765,14,2023
Yamaha FZ V3,2,Air Filter Change,19,02:58,2021,40346,12,2023
Yamaha FZ V2,11,Chain Inspection,6,12:25,2012,64614,5,2023
Yamaha MT15 v1,11,Fork Oil Change,25,08:22,2012,65558,9,2023
Yamaha FZ V2,2,Coolant Oil Change,16,-1:52,2021,34953,13,2023
Yamaha R15 V2,13,Brake Fluid Change,27,14:36,2010,68484,7,2023
Yamaha MT15 v1,3,Oil Change,34,00:46,2020,15394,8,2023
Yamaha MT15 v1,1,Chain Inspection,19,00:18,2022,12254,3,2023
Yamaha MT15 v1,10,Oil Change,29,13:49,2013,26824,4,2023
Yamaha MT15 v1,3,Complete Check Up,8,09:-7,2020,-224,7,2023
Yamaha R15 V3,0,Brake Inspection,14,-3:69,2023,3563,13,2023
Yamaha FZ V2,10,Brake Inspection,6,13:26,2013,4994,6,2023
Yamaha MT15 v2,1,Complete Check Up,-4,04:65,2022,21902,4,2023
Yamaha FZ V3,9,Air Filter Change,16,08:-4,2014,20022,10,2023
Yamaha FZ X,8,Fork Oil Change,33,09:31,2015,35082,9,2023
Yamaha R15 V1,10,Brake Fluid Change,16,08:33,2013,55528,10,2023
Yamaha FZ 250,7,Brake Fluid Change,0,04:53,2016,51486,6,2023
Yamaha MT15 v1,8,Chain Inspection,14,06:40,2015,30799,9,2023
Yamaha R15 V3,2,Fork Oil Change,4,02:64,2021,36437,1,2023
Yamaha FZ 250,10,Chain Inspection,25,09:-18,2013,45473,5,2023
Yamaha FZ V1,9,Chain Inspection,18,10:60,2014,45858,8,2023
Yamaha FZ V2,7,Coolant Oil Change,12,04:54,2016,29450,7,2023
Yamaha R15 V2,7,Fork Oil Change,4,10:-10,2016,24144,10,2023
Yamaha FZ V2,9,Brake Inspection,0,09:-10,2014,36984,7,2023
Yamaha FZ V3,0,Brake Fluid Change,14,02:56,2023,42554,12,2023
Yamaha FZ X,5,Complete Check Up,17,08:-25,2018,24615,4,2023
Yamaha FZ V1,11,Coolant Oil Change,28,14:19,2012,29778,7,2023
Yamaha FZ X,12,Brake Inspection,3,11:67,2011,8541,13,2023
Yamaha R15 V2,10,Coolant Oil Change,5,07:40,2013,23893,5,2023
Yamaha R15 V2,4,Coolant Oil Change,31,04:16,2019,32773,13,2023
Yamaha MT15 v2,13,Air Filter Change,13,10:27,2010,47671,5,2023
Yamaha MT15 v1,7,Coolant Oil Change,0,04:37,2016,1251,4,2023
Yamaha R15 V4,4,Brake Fluid Change,11,02:14,2019,23366,6,2023
Yamaha FZ V2,13,Brake Fluid Change,-2,10:17,2010,26852,4,2023
Yamaha R15 V3,4,Oil Change,16,06:-5,2019,12008,7,2023
Yamaha FZ V3,12,Coolant Oil Change,13,09:16,2011,15587,8,2023
Yamaha R15 V4,10,Oil Change,18,09:36,2013,5936,2,2023
Yamaha FZ V3,0,Brake Inspection,23,00:03,2023,14935,8,2023
